LocationLatitude,LocationLongitude,prolific_id,age,gender,gender_3_TEXT,race,marital_status,,household_income,politics,dog_neu_moral_1,dog_neu_correct_1,dog_neu_similar_1,sexsim_neu_moral_1,sexsim_neu_correct_1,sexsim_neu_similar_1,incest_neu_moral_1,incest_neu_correct_1,incest_neu_similar_1,chicken_neu_moral_1,chicken_neu_correct_1,chicken_neu_similar_1,lifeboat_neu_moral_1,lifeboat_neu_correct_1,lifeboat_neu_similar_1,footb_neu_moral_1,footb_neu_correct_1,footb_neu_similar_1,electric_neu_moral_1,electric_neu_correct_1,electric_neu_similar_1,village_neu_moral_1,village_neu_correct_1,village_neu_similar_1,dog_memrate,sexsim_memrate,incest_memrate,chicken_memrate,lifeboat_memrate,footb_memrate,electric_memrate,village_memrate,FoMO1_1,FoMO1_2,FoMO1_3,FoMO1_4,FoMO1_5,FoMO2_1,FoMO2_2,FoMO2_3,FoMO2_4,FoMO2_5,FoMO2_6,ih1_1,ih1_2,ih1_3,ih1_4,ih1_5,ih1_6,ih2_1,ih2_2,ih2_3,ih2_4,ih2_5,ih2_6,ih3_1,ih3_2,ih3_3,ih3_4,ih3_5,ih4_1,ih4_2,ih4_3,ih4_4,ih4_5,,info_type2,Scen1,Scen2,Scen3,Scen4,Scen5,Scen6,Scen7,Scen8
27.9929,-82.403,5f8614b5dae6f31327b20577,21,Female,,Black or African American,Single,,"$20,001 - $40,000",Liberal,-100,0,0,-99,0,3,-100,0,0,-100,1,0,26,0,3,-100,0,0,-99,0,2,-100,0,0,7,10 - I completely remember my responses,10 - I completely remember my responses,1 - I do not remember my responses at all,10 - I completely remember my responses,8,10 - I completely remember my responses,1 - I do not remember my responses at all,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Very true of me,Not at all true of me,Moderately true of me,Not at all true of me,Very true of me,Slightly true of me,Not at all true of me,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,neutral,electric,footb,lifeboat,village,sexsim,incest,chicken,dog
28.6344,-81.6221,5c6f64cdcacbc8000113ed19,56,Female,,White,Single,,"Under $20,000",Conservative,-100,93,72,-72,82,14,-100,87,3,-100,89,4,-100,93,94,-100,98,93,-100,98,64,-100,91,72,9,8,9,8,9,9,8,9,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Not at all true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,,neutral,chicken,incest,electric,footb,lifeboat,dog,village,sexsim
26.6371,-80.0841,5b757a03976ecb0001b1168f,71,Female,,White,Widowed,,"$20,001 - $40,000",Liberal,-11,48,0,0,0,0,-70,83,63,-29,57,34,-100,86,77,-100,100,83,-100,83,82,-100,85,83,8,9,7,1 - I do not remember my responses at all,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,Slightly true of me,Slightly true of me,Not at all true of me,Not at all true of me,Very true of me,Not at all true of me,Moderately true of me,Not at all true of me,Moderately true of me,Slightly true of me,Slightly true of me,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Disagree,,neutral,dog,chicken,footb,incest,electric,sexsim,lifeboat,village
43.6165,-116.2001,64301757c18367c5ec9582fd,58,Male,,Asian,Single,,"Under $20,000",Liberal,-100,100,0,-70,0,0,-50,50,0,0,0,0,70,50,0,-100,0,0,-100,0,0,75,0,50,8,7,7,5,7,8,6,8,Slightly true of me,Slightly true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,neutral,incest,dog,village,chicken,footb,electric,sexsim,lifeboat
33.4475,-112.0866,6077a808b8d8534a901e5d78,29,Male,,Black or African American,Single,,"Under $20,000",Slightly Conservative,99,39,8,54,4,7,64,17,7,59,5,4,80,42,4,-84,71,41,-76,63,64,91,59,38,5,4,7,7,8,7,8,9,Moderately true of me,Slightly true of me,Slightly true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,,neutral,chicken,sexsim,village,incest,dog,footb,electric,lifeboat
30.2791,-89.7679,62d39a47594b3446ba0c1585,27,Male,,White,Married,,"$40,001 - $60,000",Moderate,-100,100,0,-100,100,0,-100,100,0,-100,100,0,100,50,0,100,70,0,-100,100,0,100,25,0,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,,neutral,lifeboat,village,sexsim,dog,footb,chicken,incest,electric
35.6206,-77.3944,60f722b3a83e22a28e18860e,63,Female,,White,Married,,"$100,001 or over",Moderate,32,0,0,74,0,0,-100,26,0,30,0,0,-100,27,0,50,22,0,-100,31,0,61,0,0,7,7,8,7,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,8,Not at all true of me,Not at all true of me,Very true of me,Not at all true of me,Not at all true of me,Not at all true of me,Very true of me,Slightly true of me,Very true of me,Slightly true of me,Not at all true of me,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,,neutral,electric,lifeboat,chicken,sexsim,village,dog,incest,footb
34.0014,-84.0144,5d75c56a52c89d0017df611c,41,Female,,Black or African American,Married,,"$60,001 - $80,000",Strongly Liberal,-90,95,70,-100,100,90,-100,100,100,-100,100,90,-50,75,65,-100,100,90,-80,90,80,-60,75,65,7,8,9,9,7,9,8,7,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Very true of me,Not at all true of me,Moderately true of me,Slightly true of me,Very true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,,neutral,village,chicken,incest,electric,sexsim,lifeboat,footb,dog
32.4783,-84.8985,5915b42ffa284f00019a6990,23,Male,,Asian,Single,,"$40,001 - $60,000",Slightly Conservative,-30,41,59,60,55,45,10,37,43,52,33,34,-15,56,78,-81,67,66,-84,81,38,-65,74,73,2,9,5,9,8,8,7,6,Moderately true of me,Moderately true of me,Moderately true of me,Slightly true of me,Moderately true of me,Slightly true of me,Slightly true of me,Not at all true of me,Moderately true of me,Slightly true of me,Slightly true of me,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,,neutral,dog,incest,sexsim,lifeboat,electric,chicken,village,footb
41.1622,-85.4724,5cda0f40fbe78a00192192a3,81,Male,,White,Married,,"$40,001 - $60,000",Conservative,49,51,19,-81,51,8,-90,50,5,-63,51,7,-81,51,7,-84,51,12,-100,51,0,-92,50,6,8,8,8,8,8,8,8,8,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,,neutral,footb,dog,electric,chicken,lifeboat,sexsim,village,incest
39.8209,-84.0194,63f915653de643d95b47d440,64,Female,,White,Married,,"$40,001 - $60,000",Strongly Liberal,-91,88,89,33,64,68,-43,62,19,-38,31,26,-39,32,69,49,69,71,-39,28,76,44,72,76,10 - I completely remember my responses,5,5,4,3,2,4,3,Moderately true of me,Moderately true of me,Slightly true of me,Slightly true of me,Slightly true of me,Slightly true of me,Moderately true of me,Moderately true of me,Very true of me,Slightly true of me,Slightly true of me,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,,neutral,incest,village,footb,dog,chicken,electric,sexsim,lifeboat
34.0544,-118.244,5dd034d1fce606114e3bb8e0,57,Female,,White,Widowed,,"$20,001 - $40,000",Strongly Liberal,-30,45,45,20,10,10,-20,25,30,10,20,20,-40,40,40,-50,60,40,-20,40,40,-25,40,40,8,8,7,7,4,8,7,8,Slightly true of me,Slightly true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,,neutral,lifeboat,electric,dog,footb,incest,village,chicken,sexsim
35.8677,-86.4174,5f9f431d6aa4f3589c783492,48,Female,,White,Married,,"$40,001 - $60,000",Liberal,-54,13,8,-33,13,13,-51,12,13,-54,12,11,18,7,8,18,10,15,-48,9,8,34,8,8,6,4,5,4,4,6,6,4,Moderately true of me,Moderately true of me,Slightly true of me,Not at all true of me,Moderately true of me,Not at all true of me,Not at all true of me,Moderately true of me,Slightly true of me,Slightly true of me,Slightly true of me,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,,neutral,sexsim,footb,dog,village,incest,chicken,lifeboat,electric
42.216,-88.0771,60ffa146784103f75aadb045,35,Male,,White,Married,,"$80,001 - $100,000",Liberal,-61,100,51,-46,93,51,-99,100,70,-83,83,61,-93,99,50,-100,100,51,-100,99,63,-99,95,51,7,8,10 - I completely remember my responses,8,8,9,9,10 - I completely remember my responses,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Very true of me,Slightly true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,,neutral,dog,footb,lifeboat,sexsim,chicken,village,incest,electric
28.4627,-81.3954,5dbf11701429823ba384bd3c,61,Male,,White,Cohabited,,"Under $20,000",Moderate,-1,4,0,-1,0,0,1,7,0,-1,0,0,10,20,0,1,20,0,1,8,0,21,20,0,8,10 - I completely remember my responses,9,10 - I completely remember my responses,8,8,8,8,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,,neutral,village,chicken,electric,lifeboat,dog,incest,sexsim,footb
39.786,-86.1589,5dccd7bce2633196132b36e3,28,Male,,White,Married,,"$100,001 or over",Slightly Conservative,-100,100,0,-100,100,0,-100,80,10,-100,75,0,40,60,30,40,60,10,-85,70,30,-40,35,70,8,9,10 - I completely remember my responses,10 - I completely remember my responses,3,4,2,2,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Slightly true of me,Moderately true of me,Moderately true of me,Slightly true of me,Slightly true of me,Not at all true of me,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Disagree,,neutral,chicken,lifeboat,sexsim,electric,dog,incest,footb,village
41.3172,-81.9339,57f2da5c6c19420001438d19,47,Female,,White,Single,,"$80,001 - $100,000",Liberal,-75,90,15,-75,95,20,-100,100,100,-75,90,10,-70,85,80,-75,85,85,-100,95,90,-90,85,85,8,8,10 - I completely remember my responses,8,8,8,9,8,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,,neutral,sexsim,incest,lifeboat,footb,village,electric,dog,chicken
40.4761,-76.8949,6266add746005ee1ac2e801b,49,Female,,White,Cohabited,,"$20,001 - $40,000",Moderate,-12,85,0,-13,71,0,-62,74,0,0,64,1,34,85,0,0,84,1,29,90,7,-8,87,6,2,3,2,2,2,2,2,2,Slightly true of me,Slightly true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Moderately true of me,Slightly true of me,Moderately true of me,Slightly true of me,Not at all true of me,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,,neutral,electric,village,chicken,incest,sexsim,dog,footb,lifeboat
