LocationLatitude,LocationLongitude,age,gender,,race,marital_status,check1,household_income,politics,dog_acc_moral_1,dog_acc_correct_1,dog_acc_similar_1,sexsim_acc_moral_1,sexsim_acc_correct_1,sexsim_acc_similar_1,incest_acc_moral_1,incest_acc_correct_1,incest_acc_similar_1,chicken_acc_moral_1,chicken_acc_correct_1,chicken_acc_similar_1,lifeboat_acc_moral_1,lifeboat_acc_correct_1,lifeboat_acc_similar_1,footb_acc_moral_1,footb_acc_correct_1,footb_acc_similar_1,electric_acc_moral_1,electric_acc_correct_1,electric_acc_similar_1,village_acc_moral_1,village_acc_correct_1,village_acc_similar_1,dog_con_moral_1,dog_con_correct_1,dog_con_similar_1,sexsim_con_moral_1,sexsim_con_correct_1,sexsim_con_similar_1,incest_con_moral_1,incest_con_correct_1,incest_con_similar_1,chicken_con_moral_1,chicken_con_correct_1,chicken_con_similar_1,lifeboat_con_moral_1,lifeboat_con_correct_1,lifeboat_con_similar_1,footb_con_moral_1,footb_con_correct_1,footb_con_similar_1,electric_con_moral_1,electric_con_correct_1,electric_con_similar_1,village_con_moral_1,village_con_correct_1,village_con_similar_1,dog_memrate,sexsim_memrate,incest_memrate,chicken_memrate,lifeboat_memrate,footb_memrate,electric_memrate,village_memrate,FoMO1_1,FoMO1_2,FoMO1_3,FoMO1_4,FoMO1_5,FoMO2_1,FoMO2_2,FoMO2_3,FoMO2_4,FoMO2_5,FoMO2_6,ih1_1,ih1_2,ih1_3,ih1_4,ih1_5,ih1_6,ih2_1,ih2_2,ih2_3,ih2_4,ih2_5,ih2_6,ih3_1,ih3_2,ih3_3,ih3_4,ih3_5,ih4_1,ih4_2,ih4_3,ih4_4,ih4_5,info_type2,Resp,Amt1,reason,dog_reason,Scen1,sexsim_reason,incest_reason,chicken_reason,lifeboat_reason,footb_reason,electric_reason,village_reason,Amt2,Scen2,Amt3,Scen3,Amt4,Scen4,Amt5,Scen5,Amt6,Scen6,Amt7,Scen7,Amt8,Scen8,prolific_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0571,-86.6729,41,Female,,White,Separated or Divorced,Absolutely disagree,I prefer not to answer,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,33,0,0,24,0,0,-71,0,0,-38,0,0,-96,0,0,-100,0,0,44,0,0,-100,1,0,8,8,7,7,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,8,Slightly true of me,Not at all true of me,Slightly true of me,Not at all true of me,Slightly true of me,Not at all true of me,Moderately true of me,Not at all true of me,Moderately true of me,Slightly true of me,Not at all true of me,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,condemn,80,71,“I feel sickened that those barbaric passengers committed a horrible murder.”,con_rat,footb,con_rat,con_emo,con_emo,con_emo,con_rat,con_emo,con_rat,62,incest,68,dog,57,village,53,sexsim,51,electric,74,chicken,80,lifeboat,5c6c90bcf4dc2c0001e8d6d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.334,-82.3439,49,Male,,White,Married,Absolutely disagree,"$80,001 - $100,000",Conservative,-79,78,0,-100,100,0,-100,100,0,-100,100,0,-80,89,0,-100,100,0,-100,100,0,-100,92,0,,,,,,,,,,,,,,,,,,,,,,,,,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,9,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,accept,74,71,"“She used the items she purchased in the privacy of her own home, and nobody got hurt.”",acc_rat,village,acc_rat,acc_emo,acc_emo,acc_emo,acc_emo,acc_rat,acc_rat,57,dog,51,footb,80,electric,53,chicken,68,lifeboat,62,incest,74,sexsim,5c28feff5ffcb7000128a541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.3128,-81.8566,38,Female,,White,Married,Absolutely disagree,"$100,001 or over",Conservative,,,,,,,,,,,,,,,,,,,,,,,,,100,77,67,-11,22,8,-84,81,74,-49,64,62,-74,82,74,-68,59,60,-86,69,72,-22,62,57,7,7,7,7,7,7,7,7,Moderately true of me,Slightly true of me,Moderately true of me,Slightly true of me,Slightly true of me,Slightly true of me,Very true of me,Very true of me,Very true of me,Slightly true of me,Slightly true of me,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,condemn,62,74,“It could lead to an accidental pregnancy even with contraceptives.”,con_emo,sexsim,con_rat,con_rat,con_emo,con_rat,con_emo,con_emo,con_rat,71,footb,80,electric,51,village,68,chicken,57,lifeboat,53,dog,62,incest,5fa0adf677c87511c18c2475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.6067,-81.9507,60,Female,,White,Single,Absolutely disagree,"$20,001 - $40,000",Strongly Conservative,,,,,,,,,,,,,,,,,,,,,,,,,-100,100,0,-100,100,0,-100,100,0,-100,100,0,-100,100,0,-100,100,0,-100,100,0,-100,100,0,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,condemn,53,80,“He was reinforcing sexual fetishes that could lead to more deviant behavior in the future.”,con_emo,village,con_rat,con_emo,con_rat,con_emo,con_rat,con_rat,con_emo,74,lifeboat,68,dog,71,incest,57,footb,51,sexsim,62,electric,53,chicken,5c110067753adc00015913e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.6298,-117.3989,56,Male,,White,Single,Absolutely disagree,"$20,001 - $40,000",Slightly Conservative,31,93,0,-82,92,0,-62,94,0,-29,91,0,100,92,0,-100,92,0,-100,91,0,92,95,0,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,Slightly true of me,Slightly true of me,Slightly true of me,Slightly true of me,Moderately true of me,Very true of me,Slightly true of me,Moderately true of me,Very true of me,Slightly true of me,Moderately true of me,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,accept,57,68,"“I feel glad that Ursula enjoyed it, even though it is weird.”",acc_emo,chicken,acc_emo,acc_rat,acc_rat,acc_emo,acc_rat,acc_emo,acc_rat,53,incest,71,lifeboat,62,dog,51,village,80,footb,74,electric,57,sexsim,5b0ad393e9270900013b96e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.96,-82.4614,48,Male,,White,Married,Absolutely disagree,"$40,001 - $60,000",Moderate,-90,0,0,-50,0,0,-40,0,0,-10,0,0,80,0,0,-75,0,0,-100,0,0,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,accept,53,51,“I feel grateful that the electrician saved the children because they deserved to live more than the tycoon.”,acc_emo,lifeboat,acc_emo,acc_rat,acc_rat,acc_rat,acc_rat,acc_emo,acc_emo,80,village,57,chicken,71,footb,62,dog,74,incest,68,sexsim,53,electric,63d81f3f9fb108f7012ed455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8976,-77.5109,40,Female,,Asian,Separated or Divorced,Absolutely disagree,"$100,001 or over",Slightly Liberal,,,,,,,,,,,,,,,,,,,,,,,,,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,8,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,8,10 - I completely remember my responses,8,10 - I completely remember my responses,Slightly true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,condemn,74,57,“I feel appalled that Ursula would play with the remains of a dead animal.”,con_rat,chicken,con_emo,con_rat,con_emo,con_emo,con_rat,con_rat,con_emo,62,footb,51,electric,53,incest,71,village,80,dog,68,lifeboat,74,sexsim,5ee09c1a0c2ad1027f541f53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.6853,-72.9296,61,Female,,Asian,Married,Absolutely disagree,"$80,001 - $100,000",Slightly Liberal,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,2,51,51,-100,100,100,2,51,51,39,69,73,-100,100,100,-100,100,100,2,51,51,9,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,9,9,Slightly true of me,Slightly true of me,Slightly true of me,Slightly true of me,Slightly true of me,Moderately true of me,Slightly true of me,Slightly true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,condemn,62,53,"“The electrician had no way of knowing how much longer the children actually had, nor when the tycoon would naturally die.”",con_rat,dog,con_emo,con_rat,con_emo,con_emo,con_emo,con_rat,con_rat,68,incest,74,footb,57,lifeboat,80,sexsim,71,chicken,51,village,62,electric,5e8b32ec2c33ae7f20a0b401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.7806,-80.1826,70,Female,,White,Separated or Divorced,Absolutely disagree,"$20,001 - $40,000",Liberal,-100,0,0,-49,0,0,-100,0,0,-100,0,0,1,0,0,80,0,0,1,0,0,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,10 - I completely remember my responses,4,4,10 - I completely remember my responses,3,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,accept,51,62,“I feel bad for the passengers because they had to make an extremely stressful choice.”,acc_rat,sexsim,acc_emo,acc_emo,acc_rat,acc_emo,acc_emo,acc_rat,acc_rat,68,footb,53,electric,74,village,57,incest,71,chicken,80,dog,51,lifeboat,5c8eb16ed169ac0001c27629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0906,-82.3691,66,Male,,White,Separated or Divorced,Absolutely disagree,"$60,001 - $80,000",Strongly Liberal,,,,,,,,,,,,,,,,,,,,,,,,,-100,84,0,100,0,0,100,79,0,100,0,0,100,100,0,-60,95,0,89,100,0,100,80,0,3,5,10 - I completely remember my responses,10 - I completely remember my responses,9,3,7,9,Not at all true of me,Slightly true of me,Not at all true of me,Not at all true of me,Very true of me,Moderately true of me,Moderately true of me,Not at all true of me,Moderately true of me,Slightly true of me,Not at all true of me,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,condemn,80,71,"“The electrician had no way of knowing how much longer the children actually had, nor when the tycoon would naturally die.”",con_emo,footb,con_rat,con_rat,con_emo,con_emo,con_emo,con_rat,con_rat,51,chicken,62,sexsim,68,dog,74,lifeboat,53,village,57,incest,80,electric,5e2d96d3bc554937d1b3917a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.6986,-84.2902,58,Male,,White,Single,Absolutely disagree,"Under $20,000",Liberal,0,34,31,-39,32,27,-51,34,29,-10,35,36,-14,34,35,-29,35,37,-65,50,34,0,45,34,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,Slightly true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,accept,53,80,“The chicken was already dead and would have been consumed or thrown away anyway.”,acc_rat,electric,acc_emo,acc_emo,acc_rat,acc_emo,acc_rat,acc_rat,acc_emo,71,lifeboat,51,incest,74,sexsim,62,village,57,dog,68,footb,53,chicken,5df27b81acd5ce18b4bd225c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.331,-83.3785,63,Male,,White,Married,Absolutely disagree,"$40,001 - $60,000",Slightly Conservative,72,51,37,2,30,12,-15,15,8,2,22,10,35,10,0,52,25,9,-100,32,18,17,60,62,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,7,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Moderately true of me,Very true of me,Slightly true of me,Not at all true of me,Not at all true of me,Slightly true of me,Moderately true of me,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,accept,51,57,“It makes sense to save five people over one since their contribution to society would be higher.”,acc_rat,dog,acc_emo,acc_emo,acc_rat,acc_rat,acc_rat,acc_emo,acc_emo,80,chicken,74,sexsim,62,lifeboat,53,electric,68,village,71,incest,51,footb,62fbeca46caf4abaaf74b5f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.9764,-93.224,24,Female,,White,Single,Absolutely disagree,"$20,001 - $40,000",Strongly Liberal,,,,,,,,,,,,,,,,,,,,,,,,,53,44,70,22,36,47,-25,64,49,-29,37,73,37,39,60,24,35,66,-36,38,41,16,41,66,4,6,3,1 - I do not remember my responses at all,4,4,5,4,Slightly true of me,Moderately true of me,Very true of me,Very true of me,Moderately true of me,Moderately true of me,Slightly true of me,Very true of me,Moderately true of me,Moderately true of me,Slightly true of me,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,condemn,68,74,"“I feel furious that she would do this; parents should give their life for their children, not the other way around.”",con_emo,lifeboat,con_emo,con_rat,con_rat,con_rat,con_emo,con_rat,con_emo,71,sexsim,80,incest,53,electric,51,dog,62,footb,57,chicken,68,village,60fdb9ec6c3006abe82e5182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.1359,-81.1573,49,Female,,White,Married,Absolutely disagree,"$80,001 - $100,000",Strongly Liberal,,,,,,,,,,,,,,,,,,,,,,,,,-55,64,67,24,67,32,-74,70,54,20,37,39,-17,55,57,-53,40,30,-67,59,54,-79,63,65,7,7,6,7,6,7,7,8,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,condemn,80,62,“I feel disgusted that this sick family would eat a beloved pet.”,con_emo,incest,con_rat,con_emo,con_rat,con_rat,con_emo,con_emo,con_rat,51,village,57,chicken,68,sexsim,71,electric,74,footb,53,lifeboat,80,dog,5b76ce43bfc4cb0001f2c4c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.3902,-84.4748,43,Male,,Black or African American,Married,Absolutely disagree,"$20,001 - $40,000",Liberal,50,87,0,100,13,0,-53,70,0,40,26,0,28,87,0,0,90,0,-100,100,0,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,2,8,8,7,8,8,10 - I completely remember my responses,4,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Very true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,accept,80,68,“I feel awful for Henry because he had to push the person in order to save all five others.”,acc_emo,incest,acc_rat,acc_emo,acc_rat,acc_rat,acc_emo,acc_emo,acc_rat,74,village,62,dog,71,chicken,57,lifeboat,51,sexsim,53,electric,80,footb,5765dffd7805730001ecfcd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.8307,-71.3982,59,Male,,White,Married,Absolutely disagree,"$100,001 or over",Moderate,8,54,21,-52,61,14,-29,58,20,7,58,20,10,59,18,9,57,30,29,60,19,-10,63,21,,,,,,,,,,,,,,,,,,,,,,,,,4,5,7,4,7,8,8,7,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Moderately true of me,Not at all true of me,Moderately true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,accept,57,53,“The family did not cause the dog any harm; it was already dead.”,acc_rat,footb,acc_rat,acc_emo,acc_emo,acc_rat,acc_rat,acc_emo,acc_emo,62,electric,71,village,51,incest,80,sexsim,68,lifeboat,74,chicken,57,dog,5e2610aad15fdb000c054503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0228,-91.6572,27,Male,,Black or African American,Single,Neither disagree or agree,"Under $20,000",Moderate,,,,,,,,,,,,,,,,,,,,,,,,,0,50,50,0,3,1,0,0,0,0,4,0,0,0,0,-1,6,0,0,50,50,0,0,0,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,Moderately true of me,Moderately true of me,Moderately true of me,Moderately true of me,Moderately true of me,Moderately true of me,Moderately true of me,Moderately true of me,Very true of me,Slightly true of me,Moderately true of me,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,condemn,57,51,“He was reinforcing sexual fetishes that could lead to more deviant behavior in the future.”,con_rat,electric,con_emo,con_emo,con_rat,con_emo,con_rat,con_emo,con_rat,53,dog,68,village,80,footb,74,incest,62,sexsim,71,lifeboat,57,chicken,62c3421c12a071883d9ca455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.3656,-72.3442,67,Female,,White,Married,Absolutely disagree,"$100,001 or over",Strongly Liberal,,,,,,,,,,,,,,,,,,,,,,,,,-81,94,74,-43,71,29,-79,89,68,-72,84,56,-76,83,27,-89,87,76,-35,59,14,-57,61,44,6,2,2,3,3,5,1 - I do not remember my responses at all,1 - I do not remember my responses at all,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Very true of me,Not at all true of me,Not at all true of me,Slightly true of me,Slightly true of me,Slightly true of me,Slightly true of me,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,condemn,68,80,“I feel disgusted that this sick family would eat a beloved pet.”,con_emo,lifeboat,con_rat,con_emo,con_rat,con_rat,con_emo,con_rat,con_emo,57,electric,74,sexsim,51,chicken,53,footb,71,incest,62,village,68,dog,57541379f5000a0006b06ab4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.122,-115.086,52,Female,,Black or African American,Married,Absolutely disagree,"$40,001 - $60,000",Liberal,-35,70,70,50,50,50,60,70,70,-50,77,75,61,71,71,70,70,70,-35,70,70,72,75,69,,,,,,,,,,,,,,,,,,,,,,,,,7,5,6,5,5,4,2,4,Moderately true of me,Moderately true of me,Slightly true of me,Moderately true of me,Slightly true of me,Moderately true of me,Slightly true of me,Moderately true of me,Moderately true of me,Slightly true of me,Very true of me,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,accept,74,57,"“She used the items she purchased in the privacy of her own home, and nobody got hurt.”",acc_emo,footb,acc_rat,acc_rat,acc_emo,acc_rat,acc_emo,acc_rat,acc_emo,80,dog,53,electric,71,incest,68,lifeboat,51,chicken,62,village,74,sexsim,639b3d670be4a9daf302f881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.1811,-73.1735,83,Female,,White,Separated or Divorced,Absolutely disagree,"$20,001 - $40,000",Liberal,35,44,45,27,45,43,-28,41,45,24,39,44,25,59,43,8,47,47,-36,66,41,22,41,39,,,,,,,,,,,,,,,,,,,,,,,,,9,8,9,8,9,9,9,9,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Moderately true of me,Not at all true of me,Moderately true of me,Slightly true of me,Not at all true of me,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,accept,74,53,“They were consenting adults and were not reproducing.”,acc_rat,chicken,acc_emo,acc_rat,acc_emo,acc_rat,acc_rat,acc_emo,acc_emo,68,sexsim,51,footb,57,village,80,dog,62,electric,71,lifeboat,74,incest,615e01e53a44a0c3c04378c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.7935,-81.2868,51,Male,,White,Married,Absolutely disagree,"$100,001 or over",Conservative,29,66,65,15,63,62,28,66,65,26,59,56,21,64,60,13,63,73,35,60,61,36,45,58,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,4,4,3,3,Moderately true of me,Slightly true of me,Very true of me,Moderately true of me,Moderately true of me,Moderately true of me,Moderately true of me,Very true of me,Moderately true of me,Slightly true of me,Moderately true of me,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,accept,71,74,“I feel grateful that the electrician saved the children because they deserved to live more than the tycoon.”,acc_rat,incest,acc_emo,acc_rat,acc_emo,acc_rat,acc_emo,acc_emo,acc_rat,51,village,68,sexsim,53,lifeboat,57,chicken,80,footb,62,dog,71,electric,64388d39ca379d138d1ef4ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.7448,-99.2218,72,Female,,White,Married,Absolutely disagree,"$20,001 - $40,000",Conservative,,,,,,,,,,,,,,,,,,,,,,,,,-99,0,1,-97,6,5,-89,1,1,-97,1,1,-99,91,2,-97,0,1,-99,1,1,-97,2,1,3,1 - I do not remember my responses at all,1 - I do not remember my responses at all,1 - I do not remember my responses at all,7,5,4,8,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Not at all true of me,Slightly true of me,Not at all true of me,Slightly true of me,Slightly true of me,Not at all true of me,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,condemn,62,51,“I feel disgusted that this sick family would eat a beloved pet.”,con_emo,chicken,con_rat,con_emo,con_rat,con_rat,con_emo,con_emo,con_rat,57,incest,71,lifeboat,74,sexsim,68,village,80,electric,53,footb,62,dog,56df2ea2452e1300056bc7df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
